crypto_address,crypto_name,flagging_reason
1Bt4psBJmjfVTcW6eYiJZ6HEbpFgKkBSX4,Bitcoin,Blackmail Scam
1HP1YPFypx9SRzQWMC8d2PzDQZdvqVCpSM,Bitcoin,Blackmail Scam
3ATpY8hyQW1on4U5LETVr1t3MgPtjnBiWC,Bitcoin,Blackmail Scam
bc1qfkxkq78a3rs5nh2wm9g9h93xks6vtdpflxatjf,Bitcoin,Blackmail Scam
1JEyJwPhJp1UW9EmkMLmuG9jZ3t3uAEVst,Bitcoin,Blackmail Scam
1DgssF53kcLhDxP7F5QwsVm3W4sXtGV4AC,Bitcoin,Ransomware
3FRStQhVSpyPPNyudFoZcFPnx6x2tcbXLg,Bitcoin,Blackmail Scam
1F4tryiwGHp8X2LhkDf3qXWuNt9P8rtCfm,Bitcoin,Blackmail Scam
bc1qaftvqxe4tujwhaxkcpjqas788cmdjpruamj54d,Bitcoin,Blackmail Scam
12s5GkbiN7FB65xwzzN5JW6LUeWPqAzDV8,Bitcoin,Other
1LdW1McMunTDVkSTg6F4GYYJcLNviq5eJS,Bitcoin,Blackmail Scam
1Nv6kdmHWdzvHUUNdgq9HvUH65gb2GEL7w,Bitcoin,Other
1MWoUUPHXXT1mAa3VFajUM2XVegJsYChC,Bitcoin,Other
17z8EBevwNd1pzR3F6kTz1Z2matr6Bdyi8,Bitcoin,Blackmail Scam
1AkBj6w1WpdiWbvwzkXgDiJwWVz6zmbFsg,Bitcoin,Blackmail Scam
1GoZSf9fKcVj2MKkBGWmb9cHwKnyJGzi6u,Bitcoin,Other
bc1qjvdrnaq2mqk8ahgcsfdywestqw82t6q6268a38,Bitcoin,Sextortion Scam
bc1qrm5z92l8r9896ll5d4rsmr3fwzgmhhpk9cznrg,Bitcoin,Ransomware
1HPpdL6pa7YPtmvLF4fKn5wQ1CnBKE3Tu3,Bitcoin,Other
1NXuSpfka4XsnY7N9PqF5cpp45NEJD135S,Bitcoin,Ransomware
bc1quyfc4ctckpz59r42lrnve346xh2v9nlm0hx7pv,Bitcoin,Sextortion Scam
19pVBQWzH6HBC6WazvsoYujwAFsNEZQJro,Bitcoin,Blackmail Scam
3CLXN2ysQbSQTRVoSvi4RiUQXN9mGQMqFM,Bitcoin,Other
bc1qn70r7dlqwjayq9vjwjeqcmw7x8qf97xmqhulhm,Bitcoin,Ransomware
1HdJQawUWxygH6X1XTa36UdKwqgBvQJVQg,Bitcoin,Sextortion Scam
376afi4Hq7FWR8NWBihhEkYCeTCMGFR7BC,Bitcoin,Blackmail Scam
3HMNoasJng5b2XF5uudNbd6CpWmePfcWw8,Bitcoin,Sextortion Scam
bc1qankhmxhs9eqt9fsckgl8cejk5np3ac2apmz5fj,Bitcoin,Blackmail Scam
1DpFZwfeSDd8cPi4US6DY6oh9Crbk8YEay,Bitcoin,Blackmail Scam
1PcFYw7PQKUnj6RxqVwZ4TFuwWUPTyECKQ,Bitcoin,Ransomware
bc1q4ktuhhk8egvesqdmmckf2tmvckj4vthv7l3yta,Bitcoin,Other
13vvfD6PgcAwXryMRFj3BZQiJ2r88z4H3k,Bitcoin,Sextortion Scam
38GPJcCHVNkipQo8emaJWiNPByc9wf3CFa,Bitcoin,Other
1Hzj54jSybTNL3b2XH2ANQaXk5FhLEWfwR,Bitcoin,Impersonation Scam
13E4d14BnRqsZVrp3Cp3PBMA8Ca4UEVTWC,Bitcoin,Sextortion Scam
1HqUTGvbvDWCSTFDdYtPVviPW2iF8HsNUc,Bitcoin,Blackmail Scam
bc1q322pmcv5cyefzkga82u5jzm8ykvyuy3vpha7a2,Bitcoin,Ransomware
15f7b4FfPS8fWwkDmh4QMdvsfhja1yN8As,Bitcoin,Other
17F6TcT2Q2L2QwAuCgGKiBXxWQjAoBBU4T,Bitcoin,Blackmail Scam
bc1q2v70wt23xvl9md745r9807avgxtthnav7pjj57,Bitcoin,Sextortion Scam
1FqAEDNBFFjBZuVzk7V94tKgGwhVa8qABt,Bitcoin,Blackmail Scam
1KE1EqyKLPzLWQ3BhRz2g1MHh5nws2TRk,Bitcoin,Ransomware
1GNUYveHzU1rCqVamoiZE3z27RS1qEp4au,Bitcoin,Sextortion Scam
bc1qzadut22yt80h7u8yhmsnna4ynlmvslncumxzvq,Bitcoin,Blackmail Scam
1KkvvGKNwkDTBwX9u8R3qFFMS8VZmb3KyD,Bitcoin,Ransomware
bc1qkv262nv5kcvptlm5vc3aheyv3vdem46udz703j,Bitcoin,Sextortion Scam
13VSKQRogGbjs7gqYDSuFbyBbP1m6Bf6bZ,Bitcoin,Ransomware
bc1qdt0f58frl7vahjlsvfdp654sjphcx50zsmwtkz,Bitcoin,Ransomware
126jWBzaLXqEv9zHGs5rNTXaVH4KZZxpio,Bitcoin,Ransomware
bc1q2kge42wsa5kujgulwxdv9lg9fvk8zg2vt0sul0,Bitcoin,Other
1A2bDSjjLyS7rERS4jo6WXB5JQa4sq4QJQ,Bitcoin,Ransomware
1FSge8Rb6sri1bnvpVpo89cgwrKraznKeX,Bitcoin,Ransomware
1DhJoDAJ9hd2PsqRACxYfHr9yhSkuTiQD1,Bitcoin,Blackmail Scam
1KMPMzT3Vuqc3heSan692Uqfiww3XxdA1z,Bitcoin,Blackmail Scam
16y4EdZ2b3tqArQvqHrsufXCEMV91YRERo,Bitcoin,Sextortion Scam
